评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
, 中国大陆, 周志方 / 刘岩 / 胡坚,,, 刘岩 / 嵇天毅, 剧情, 英雄岁月之王牌部队 / 英雄岁月 / Ace Troops / Heroic Years, 汉语普通话, tt16752712,,王牌部队, 黄景瑜 / 肖战 / 钟楚曦 / 李幼斌 / 毛林林 / 傅浤鸣 / 徐洪浩 / 孙逊 / 侯梦莎 / 刘晓洁 / 赵荀 / 张进 / 毛毅 / 夏侯镔 / 何政军 / 张志坚 / 白鹿 / 程煜 / 杜源 / 张绍刚 / 秦沛 / 史兰芽
8.3, 中国大陆, 里则林, 104分钟,380635, 孙海鹏, 剧情 / 喜剧 / 动画, I Am What I Am, 汉语普通话 / 粤语, tt16345484, 2021-12-17(中国大陆) / 2021-12-11(大规模点映),雄狮少年, 大昕 / 大雄 / 郭皓 / 李盟 / 李佳思 / 蔡壮壮 / 马语非 / 熊陈捷 / 巴赫 / 大澄子 / 付博文 / 秋木
5.7, 中国大陆, 李鹏 / 刘吾驷 / 杨梅媛, 118分钟,292078, 戴墨, 剧情 / 犯罪, Fireflies in the Sun, 汉语普通话, tt16117346, 2021-12-17(中国大陆),误杀2, 肖央 / 任达华 / 文咏珊 / 陈雨锶 / 宋洋 / 李治廷 / 张世 / 尹子维 / 姜皓文 / 陈昊 / 周楚濋 / 王昊泽 / 强巴才丹
7.4, 中国大陆 / 中国香港, 兰晓龙 / 黄建新, 176分钟,654088, 陈凯歌 / 徐克 / 林超贤, 剧情 / 历史 / 战争, 冰雪长津湖 / 抗美援朝 / 长津湖之战 / The Battle at Lake Changjin / Battle of Chosin Reservior, 汉语普通话 / 英语, tt13462900, 2021-09-30(中国大陆),长津湖, 吴京 / 易烊千玺 / 段奕宏 / 朱亚文 / 李晨 / 韩东君 / 胡军 / 张涵予 / 黄轩 / 欧豪 / 史彭元 / 李岷城 / 唐国强 / 杨一威 / 周小斌 / 林永健 / 王宁 / 刘劲 / 卢奇 / 王伍福 / 耿乐 / 曹阳 / 李军 / 王同辉 / 艾米 / 石昊正 / 许明虎
6.0, 中国大陆, 薛晓路 / 柳青 / 张铂雷 / 郝哲 / 王越, 124分钟,98057, 薛晓路, 剧情 / 爱情, 江城子·在武汉 / 我和我的武汉 / 在武汉 / 拥抱你·在武汉 / Embrace Again, 汉语普通话 / 武汉方言, tt16287604, 2021-12-31(中国大陆),穿过寒冬拥抱你, 黄渤 / 贾玲 / 朱一龙 / 徐帆 / 高亚麟 / 吴彦姝 / 许绍雄 / 王骁 / 周冬雨 / 刘昊然 / 乔欣 / 王一楠 / 刘天佐 / 田小洁 / 孙茜 / 张宥浩 / 尚语贤
8.1, 中国大陆, 邵艺辉, 112分钟,562826, 邵艺辉, 剧情 / 喜剧 / 爱情, B for Busy / Myth of Love, 汉语普通话 / 沪语, tt16606348, 2021-12-24(中国大陆),爱情神话, 徐峥 / 马伊琍 / 吴越 / 倪虹洁 / 周野芒 / 黄明昊 / 王影璐 / 宁理 / 张芝华 / 吴冕 / 冯玛娅 / 哈姆扎·穆罕默德·纳吉·萨拉米 / 孙思瀚 / 赵胤胤 / 卫莱 / 赵国云 / 杨蔚岚 / 白红卫 / 史航
5.8, 中国大陆, 王倦,,145392, 宋晓飞, 剧情 / 武侠 / 古装," 雪中行 / Sword,Snow,Stride / 雪中悍刀行 第一季", 汉语普通话, tt12740306,,雪中悍刀行, 张若昀 / 李庚希 / 胡军 / 高伟光 / 张天爱 / 丁笑滢 / 刘端端 / 刘天佐 / 杨皓宇 / 张天阳 / 沈保平 / 高泰宇 / 嘉泽 / 邱心志 / 张艺上 / 孟子义 / 于荣光 / 王绘春 / 刘佩琦 / 杜玉明 / 李解 / 何中华 / 郭虹 / 隋俊波 / 董洁 / 文咏珊 / 王天辰 / 田小洁 / 李念 / 李纯 / 张晓晨 / 于洋 / 王同辉 / 王彦霖 / 孙雅丽 / 陈伟栋 / 张奕聪 / 荣梓杉 / 宣言 / 侯长荣 / 贺镪 / 陶海 / 韩昊霖 / 董颜 / 廖慧佳
7.4, 中国大陆, 里八神 / 刘循子墨 / 张本煜 / 柯达, 123分钟,558977, 刘循子墨, 剧情 / 喜剧 / 悬疑, 一部电影的诞生 / Be Somebody, 汉语普通话, tt16043930, 2021-11-11(中国大陆),扬名立万, 尹正 / 邓家佳 / 喻恩泰 / 杨皓宇 / 陈明昊 / 秦霄贤 / 张本煜 / 柯达 / 邓恩熙 / 余皑磊 / 白客 / 赵文瑄 / 小爱 / 周奇
7.8, 中国大陆, 祈祷君 / 邱玉洁 / 老算 / 黄凯文 / 袁继犀 / 魏市宁,,709714, 孙墨龙 / 刘洪源 / 老算, 剧情, Reset, 汉语普通话, tt17506706,,开端, 白敬亭 / 赵今麦 / 刘奕君 / 刘涛 / 黄觉 / 刘丹 / 宋家腾 / 曾柯琅 / 张喜前 / 马兰 / 焦鹏 / 卜宇鑫 / 李感 / 范帅琦 / 鞠帛展 / 余沛杉 / 张龄心 / 白宇帆 / 尤靖茹 / 陈牧扬 / 任帅 / 吴其江 / 高海鹏 / 李克伟 / 赵千紫 / 马波 / 刘冠霖 / 魏伟 / 李斌 / 王宏 / 钱漪 / 陈卫 / 吴珏瑾 / 陈小妹 / 沐桐 / 乔牧 / 王汀 / 许薇 / 亦明 / 李金江 / 张浩 / 陈镜依 / 王沛禄 / 王枫 / 张靖岚 / 刘祉驿 / 李林 / 于京田 / 丁文博 / 龙斌 / 王智 / 陆星 / 王志鹏 / 柳欣言 / 孙惟嵩 / 陈宇喆 / 陈茜 / 郝将 / 程小刚 / 王康康 / 汪美美 / 张涵 / 张文馨 / 张迪扉 / 罗今 / 顾高敏 / 尹腾喆 / 张丽雯 / 殷晨曦 / 申贝 / 李永 / 徐翠翠 / 马骞 / 孙建 / 钟铃 / 霍雨佳 / 李涛 / 李德良 / 王沛祺 / 宋鑫 / 郑芷昕 / 林子琛 / 林志敏 / 常丙雨 / 元元 / 赵慧 / 张玥 / 程世宇 / 王思钦 / 骆磊 / 郭增友 / 庄宝琨 / 杨子平 / 熊巍 / 胡凯 / 傅闽南 / 杨毅春 / 葛庆伟 / 卢树斌 / 谢语嫣 / 彭亚辉 / 展瑞斌 / 阮样华 / 萧文涓 / 梁莹 / 王鹏 / 梁政伟
4.3, 中国大陆, 高可 / 杨晓明, 100分钟,124297, 高可, 喜剧 / 古装, 李茂换太子 / Another Me, 汉语普通话, tt17005404, 2022-01-01(中国大陆),李茂扮太子, 马丽 / 常远 / 艾伦 / 魏翔 / 王成思 / 杜晓宇 / 陈冰 / 冯秦川 / 李海银 / 克拉拉 / 刘冠麟 / 宋小宝 / 于洋 / 张一鸣 / 黄才伦 / 张子栋 / 谢锐韬
