评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
7.5, 中国香港 / 中国大陆, 梁乐民 / 陆剑青, 102分钟,346839, 梁乐民 / 陆剑青, 剧情 / 动作 / 犯罪, Cold War / Cold War 香港警察 两种正义(日), 粤语 / 汉语普通话, tt2186715, 2012-11-08(中国大陆/中国香港),寒战, 郭富城 / 梁家辉 / 李治廷 / 彭于晏 / 杨采妮 / 马伊琍 / 林家栋 / 安志杰 / 钱嘉乐 / 尹子维 / 王敏德 / 黄芝琪 / 郑欣宜 / 文峰 / 贾晓晨 / 刘德华 / 何华超
6.8, 中国大陆 / 中国香港, 黄子桓 / 深泽寛 / 陈大利 / 梁礼彦, 107分钟,273135, 叶伟信, 剧情 / 动作, 叶问4 / Ip M4n / Ip Man 4 / Yip Man 4 / Yip Man 4：The Finale, 粤语 / 英语 / 汉语普通话, tt2076298, 2019-12-20(中国大陆),叶问4：完结篇, 甄子丹 / 吴樾 / 吴建豪 / 斯科特·阿金斯 / 李宛妲 / 郑则仕 / 陈国坤 / 敖嘉年 / 高战 / 叶禾 / 熊黛林 / 罗莽 / 刘敬宇 / 史蒂文·达兹
6.2, 中国香港, 冯志强, 105分钟,90916, 冯志强, 悬疑 / 惊悚 / 犯罪, A Witness out of the Blue, 粤语, tt11076480, 2019-10-12(中国大陆) / 2019-10-24(中国香港),犯罪现场, 古天乐 / 宣萱 / 张继聪 / 谭耀文 / 姜皓文 / 李灿森 / 安志杰 / 刘心悠 / 薛凯琪 / 凌文龙 / 吴肇轩 / 颜卓灵 / 陈国邦 / 张松枝 / 蔡洁 / 徐广林 / 周祉君 / 张文杰 / 胡卓希
5.7, 中国香港 / 中国大陆, 黎兆钧 / 施柏林 / 刘永泰, 94分钟,52074, 黎兆钧 / 施柏林 / 刘永泰, 悬疑 / 犯罪, 催眠裁决 / Guilt by Design / Hypnotize the Jury, 粤语 / 汉语普通话, tt10098494, 2019-10-25(中国大陆) / 2020-07-31(中国大陆重映) / 2019-11-07(中国香港),催眠·裁决, 张家辉 / 张翰 / 秦沛 / 郑则仕 / 金燕玲 / 张兆辉 / 谷祖琳 / 苏丽珊 / 李尚正 / 王浩信 / 郭政鸿 / 董畅 / 艾米 / 蔡瀚亿 / 骆应钧 / 杨偲泳
6.8, 中国大陆 / 中国香港, 陈庆嘉 / 叶天成, 90 分钟,51736, 杜琪峰, 剧情 / 动作 / 犯罪, Breaking News, 英语 / 汉语普通话 / 粤语, tt0414931, 2004-06-10(中国香港),大事件, 陈慧琳 / 张家辉 / 任贤齐 / 林雪 / 任达华 / 许绍雄 / 邵美琪 / 张兆辉 / 尤勇智 / 丁海峰
6.0, 中国大陆 / 中国香港, 廖智勇,,10705, 查传谊 / 李惠民 / 邓衍成, 剧情, Flying Tiger II, 汉语普通话 / 粤语,,,飞虎之雷霆极战, 苗侨伟 / 黄宗泽 / 吴卓羲 / 马国明 / 蒙嘉慧 / 余香凝 / 李·佩斯 / 苟芸慧 / 张曦雯 / 陈山聪 / 吴启华 / 蔡洁 / 姜大卫 / 刘佩玥 / 汪明荃 / 梁竞徽 / 周志文 / 王敏德 / 吴沚默 / 杨玉梅 / 王卓淇 / 李思雅 / 李豪 / 麦长青 / 彭纪谚 / 陳戩浩 / 梁百川 / 陈诺忠 / 蔡苑庭 / 林嘉华 / 陈秀珠 / 黄庭锋 / 潘志文 / 郑子诚 / 谭凯琪 / 易宇航 / 杨证桦 / 吴瑞庭 / 何浩文 / 杨靖彤 / 吴业坤 / 黎燕珊 / 王俊棠 / 黄柏文
7.5, 中国香港, 格雷格·梅洛特 / 唐铭基 / 唐季礼 / 尼克·特拉蒙坦恩, 107分钟(香港) / 84分钟(蓝光版),36398, 唐季礼, 喜剧 / 动作 / 犯罪,, 英语 / 粤语 / 汉语普通话 / 俄语 / 乌克兰语, tt0116704, 1996-02-10(中国香港),警察故事4：简单任务, 成龙 / 董骠 / 楼学贤 / 吴辰君 / Elaine George / 黎强根 / 卢惠光
7.2, 中国香港, 马美萍 / 邓景生, 97分钟 / 88分钟(美国) / 84分钟(西班牙DVD版),31764, 洪金宝, 喜剧 / 动作 / 犯罪, 义胆厨星 / Mr. Nice Guy, 英语 / 汉语普通话 / 粤语, tt0117786, 1997-01-31(中国香港),一个好人, 成龙 / 理查德·诺顿 / 李婷宜 / 卡伦·麦克利蒙特 / 加布里埃尔·费茨帕特里克 / 文斯·波莱托 / 巴里·奥托 / 洪金宝 / 周华健 / 高丽虹 / 彼得·霍顿 / 彼得·林赛 / 大卫·诺 / 瑞秋·布莱克利 / 朱迪·格林 / 阿龙·诺塔尔弗朗切斯科 / 杰克·诺塔尔弗朗切斯科 / 弗雷德里克·米拉廖塔 / 尼克·卡拉法 / 基思·阿吉厄斯 / 卡拉·邦纳 / 陈英明
8.7, 中国大陆 / 中国香港, 曾瑾昌 / 陈文强 / 周星驰 / 霍昕, 100分钟(3D重映) / 95分钟(中国大陆) / 99分钟(美国),955028, 周星驰, 喜剧 / 动作 / 犯罪 / 奇幻, 功夫3D / Kung Fu Hustle, 粤语 / 汉语普通话 / 手语, tt0373074, 2004-12-23(中国大陆/中国香港) / 2015-01-15(中国大陆3D) / 2004-09-14(多伦多电影节),功夫, 周星驰 / 元秋 / 元华 / 黄圣依 / 梁小龙 / 陈国坤 / 田启文 / 林子聪 / 林雪 / 冯克安 / 释彦能 / 冯小刚 / 袁祥仁 / 张一白 / 赵志凌 / 董志华 / 何文辉 / 陈凯师 / 贾康熙 / 林子善 / 任珈锐 / 王仕颖
7.7, 中国香港 / 中国大陆, 黄子桓 / 陈大利, 106分钟,344100, 叶伟信, 剧情 / 动作 / 传记 / 历史, 一代宗师·叶问 / Yip Man / Ip Man, 粤语 / 汉语普通话 / 日语, tt1220719, 2008-12-12(中国大陆) / 2008-12-19(中国香港),叶问, 甄子丹 / 任达华 / 熊黛林 / 池内博之 / 林家栋 / 樊少皇 / 释彦能 / 黄又南 / 杜宇航
