评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.3, 美国 / 澳大利亚 / 加拿大 / 印度, 特里·鲁西奥 / 埃里克·皮尔森 / 麦克思·鲍伦斯坦 / 迈克尔·道赫蒂 / 扎克·希尔兹, 113分钟,271116, 亚当·温加德, 动作 / 科幻 / 冒险, 金刚大战哥斯拉 / 哥吉拉大战金刚(台) / King Kong vs. Godzilla / GvK, 英语 / 美国手语, tt5034838, 2021-03-26(中国大陆) / 2021-03-24(中国台湾) / 2021-03-31(美国),哥斯拉大战金刚, 亚历山大·斯卡斯加德 / 米莉·波比·布朗 / 丽贝卡·豪尔 / 凯莉·霍特尔 / 布莱恩·泰里·亨利 / 小栗旬 / 艾莎·冈萨雷斯 / 朱利安·迪尼森 / 兰斯·莱迪克 / 凯尔·钱德勒 / 德米安·比齐尔 / 哈基姆·凯-卡西姆 / 钱信伊 / 约翰·皮鲁切洛 / 克里斯·乔克 / 康兰·卡萨尔 / 布拉德·麦克默里 / 本杰明·里格比 / 普里西拉·道伊西 / 戴维·卡斯蒂洛 / 吉姆·帕尔默 / 柯蒂斯·布什 / 皮拉·福德 / 爱丽丝·兰斯伯里 / 肖恩·麦克布莱德 / 乔尔·皮尔斯 / 乔恩·奎斯蒂德 / 塔斯尼姆·罗克 / 艾梅伯·瓦尔斯 / 迪索·拉莫斯
5.9, 美国, 扎克·迪恩, 138分钟,97281, 克里斯·麦凯, 动作 / 科幻 / 冒险, 幽灵征募 / 幽灵分遣队 / Ghost Draft, 英语, tt9777666, 2021-09-03(中国大陆) / 2021-07-02(美国网络),明日之战, 克里斯·帕拉特 / 伊冯娜·斯特拉霍夫斯基 / J·K·西蒙斯 / 艾德文·霍德吉 / 山姆·理查森 / 贝蒂·吉尔平 / 贾思敏·马修斯 / 玛丽·莱恩·莱杰斯库 / 赖恩·基拉·阿姆斯特朗 / 凯斯·鲍尔斯 / 赛切儿·加布埃尔 / 菲丽莎·特雷尔 / 梅利莎·圣阿曼德 / 加里·维克斯 / 大卫·马尔登那多 / 马修·康威尔 / 埃里克·格里斯 / 罗伯特·廷斯利 / 安德里娅·安德拉德 / 帕特里克·马龙 / 施奎塔·詹姆斯 / 吉姆·帕尔默 / 雷德·戴利 / 亚历克西斯·拉奥特 / 梅根·劳利斯 / 克拉克·萨鲁洛 / 肯尼斯·以色列 / 小佩里·祖鲁 / 肖恩·雷卡特尔 / Rodney L. James / Chibuikem Uche / Mike Mitchell / Alan Trong
6.2, 美国, 伊坦·柯亨 / 马特·利伯曼, 95分钟,2670, 哈米什·格里夫, 喜剧 / 动画 / 奇幻 / 运动, 无敌劲挞王(港) / 打怪大乱斗(台) / 怪兽大战 / Monster on the Hill, 英语, tt8337158, 2021-12-15(美国),怪兽训练营, 本·施瓦茨 / 威尔·阿奈特 / 杰拉尔丁·维斯瓦纳坦 / 泰瑞·克鲁斯 / 托尼·丹扎 / 吉米·塔特罗 / 弗雷德·迈拉麦德 / 罗曼·雷恩斯 / 瑞贝卡·奎恩 / 迈克尔·巴佛 / 史蒂芬·A·史密斯
7.6, 卢森堡 / 法国, 梦枕貘 / 谷口治郎 / Jean-Charles Ostoréro / 帕特里克·英伯特 / Magali Pouzol, 95分钟,1599, 帕特里克·英伯特, 动画 / 冒险, The Summit of the Gods, 法语, tt7014378, 2021-07-10(戛纳电影节) / 2021-11-30(美国),神之山岭, Lazare Herson-Macarel / Eric Herson-Macarel / Damien Boisseau / 伊丽莎白·温图拉 / Kylian Rehlinger / 弗朗索瓦·迪努瓦耶 / Philippe Vincent / Luc Bernard / 高塞尔·巴特 / Marc Arnaud / Jérôme Keen / Cédric Dumont / Jocelyn Veluire / David Berger / Tatiana Werner
6.5, 美国 / 塞尔维亚, 费德·阿尔瓦雷兹 / 罗多·赛亚格斯, 98分钟,22780, 罗多·赛亚格斯, 惊悚 / 恐怖, 禁室杀戮2(港) / 暂时停止呼吸2(台) / 别呼吸2, 英语, tt6246322, 2021-08-13(美国),屏住呼吸2, 史蒂芬·朗 / 布兰登·萨克斯顿 / 马德琳·格雷斯 / 罗奇·威廉姆斯 / 斯蒂芬妮·阿西拉 / 鲍比·斯科菲尔德 / 戴安娜·巴尼科娃 / 亚当·扬 / 克里斯蒂安·泽吉亚 / 罗恩·罗格尔
8.0, 中国大陆, 杜印 / 李强 / 黄钢, 110分钟,12873, 王苹, 剧情 / 悬疑 / 战争, 《永不消逝的电波》4K彩色修复版 / The Eternal Wave, 汉语普通话, tt0352008, 1958(中国大陆) / 2021-10-06(中国大陆重映),永不消逝的电波, 孙道临 / 袁霞 / 王心刚 / 陆丽珠 / 黄宛苏 / 霍德集 / 李力 / 里坡 / 白钢 / 刘江 / 陆立之 / 曲云 / 王骏 / 王孝忠 / 吴凡 / 邢吉田 / 颜碧君 / 张帆 / 张亨利 / 张怀志 / 张璋 / 孟庆芳 / 刘秉章 / 朱毅之
7.3, 美国, 帕塔诗·蓬西里, 99分钟,5013, 帕塔诗·蓬西里, 犯罪 / 西部,, 英语, tt12731980, 2021-09-07(威尼斯电影节) / 2021-10-01(美国),老亨利, 斯蒂芬·多尔夫 / 蒂姆·布雷克·尼尔森 / 小理察·斯贝特 / 马克斯·阿西涅加 / 斯科特·黑兹 / 布拉德·卡特 / 特雷斯·阿德金斯 / 加文·刘易斯 / Kent Shelton
7.0, 澳大利亚 / 印度 / 美国 / 英国 / 加拿大, 威尔·古勒 / 碧翠丝·波特 / 帕特里克·伯利, 94分钟,37296, 威尔·古勒, 喜剧 / 动画 / 冒险, 比得兔2：走佬日记(港) / 比得兔兔(台) / 比得兔2 / 彼得兔2 / Peter Rabbit 2, 英语, tt8376234, 2021-06-11(中国大陆/美国) / 2021-03-25(澳大利亚),比得兔2：逃跑计划, 詹姆斯·柯登 / 罗丝·伯恩 / 多姆纳尔·格里森 / 大卫·奥伊罗 / 玛格特·罗比 / 伊丽莎白·德比茨基 / 达蒙·海瑞曼 / 塔拉·莫里斯 / 达利普·索地 / 安迪·加什古德 / 尼克·欧文福特 / 戴维娜·西塔拉姆 / 基根·乔伊斯 / Megan Smart / Neveen Hanna / Taylor Ferguson / Kevin MacIsaac
6.3, 美国, 乌迈尔·阿莱姆, 106分钟,13142, 塞德里克·萨科, 动作 / 惊悚 / 犯罪, 绝命凯特, 英语 / 日语, tt7737528, 2021-09-10(美国网络),凯特, 玛丽·伊丽莎白·温斯特德 / 米希尔·赫伊斯曼 / 伍迪·哈里森 / 浅野忠信 / 米库·玛尔提诺 / 艾尔西亚·罗塔鲁 / 石原贵雅 / 阿梅利亚·克劳奇 / 国村隼 / 玛丽·亚马莫托 / 艾娃·卡约菲丽斯 / 约恩·奥布赖恩 / 西琳娅·温西里 / Ulf Pilblad / Gemma Brooke Allen / Patrick Newall
6.3, 中国大陆, 沙颂 / 李骏, 114分钟,142444, 李骏, 剧情 / 动作 / 灾难, 无限救援 / 无限深度 / Cloudy Mountain / Infinite Depth, 汉语普通话, tt15413054, 2021-09-17(中国大陆),峰爆, 朱一龙 / 黄志忠 / 陈数 / 焦俊艳 / 成泰燊 / 王戈 / 卢思宇 / 洪剑涛 / 周晓鸥 / 斌子 / 孙一理 / 黄超 / 闫鹏 / 张国立 / 张译 / 白客 / 乔欣 / 李光洁 / 乔振宇 / 章申 / 于莎莎 / 陶虹
