评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
8.7, 印度, T.J. Gnanavel, 164分钟,35779, T.J. Gnanavel, 剧情 / 犯罪, 万岁毕姆 / 斗争万岁, 泰米尔语 / 印地语, tt15097216, 2021-11-02(印度),杰伊·比姆, 苏利耶·西瓦库马 / Lijo Mol Jose / Manikandan / Rajisha Vijayan / 普拉卡什·拉贾 / Rao Ramesh / Guru Somasundaram / M.S. Bhaskar / V. Jayaprakash / Sibi Thomas / Ilavarasu / Jayarao / Sujatha Sivakumar / Ravi Venkatraman / Tamizh / Padmapriya
6.9, 印度, 比于什·古普塔 / 尼基尔·麦罗特拉 / 涅提·蒂瓦里, 143分钟,22937, 涅提·蒂瓦里, 剧情 / 喜剧, 万万没想到(台), 印地语, tt9052870, 2022-01-07(中国大陆) / 2019-09-06(印度),最初的梦想, 苏尚特·辛格·拉吉普特 / 施拉德哈·卡普尔 / 瓦伦·沙玛 / 普拉提克·巴巴尔 / 塔希尔·拉吉·巴辛 / 纳文·波利希蒂 / 图沙尔·潘迪 / 萨哈什·库马尔·舒克拉 / 罗希特·乔汉 / 纳尼什·尼尔 / 阿比纳夫·巴特查吉 / 尼尔·多克特 / 艾比希·约瑟夫·乔治 / 维沙尔·古普塔 / 阿姆里特·卡什亚普 / 什沙尔·夏尔马
9.0, 印度, 比于什·古普塔 / 施热亚·简 / 尼基尔·麦罗特拉 / 涅提·蒂瓦里, 161分钟(印度) / 140分钟(中国大陆),1414408, 涅提·蒂瓦里, 剧情 / 家庭 / 传记 / 运动, 我和我的冠军女儿(台) / 打死不离3父女(港) / 摔跤吧！老爸 / 摔跤家族 / दंगल / Wrestling Competition, 印地语 / 英语, tt5074352, 2017-05-05(中国大陆) / 2016-12-23(印度),摔跤吧！爸爸, 阿米尔·汗 / 法缇玛·萨那·纱卡 / 桑亚·玛荷塔 / 阿帕尔夏克提·库拉那 / 沙克希·坦沃 / 塞伊拉·沃西 / 苏哈妮·巴特纳格尔 / 里特维克·萨霍里 / 吉里什·库卡尼
9.2, 印度, 维德胡·维诺德·乔普拉 / 拉吉库马尔·希拉尼 / 阿希贾特·乔希, 171分钟(印度),1688894, 拉吉库马尔·希拉尼, 剧情 / 喜剧 / 爱情 / 歌舞, 三个傻瓜(台) / 作死不离3兄弟(港) / 三个白痴 / 三个傻蛋 / 三个呆瓜 / 三生万悟 / 寻找兰彻 / Three Idiots, 印地语 / 乌尔都语 / 英语, tt1187043, 2011-12-08(中国大陆) / 2009-12-25(印度),三傻大闹宝莱坞, 阿米尔·汗 / 卡琳娜·卡普尔 / 马达范 / 沙尔曼·乔希 / 奥米·瓦依达 / 博曼·伊拉尼 / 莫娜·辛格 / 拉杰夫·拉宾德拉纳特安
8.2, 印度, 阿里吉特·比沙什 / 约戈什·查德卡尔 / 斯里兰姆·拉格万 / 赫曼斯·饶 / 普哈·拉达·瑟蒂 / 奥利维耶·特雷内, 139分钟,853789, 斯里兰姆·拉格万, 喜剧 / 悬疑 / 惊悚 / 犯罪, 看不见的旋律 / 调琴师 / 盲调 / The Blind Melody, 印地语 / 英语, tt8108198, 2019-04-03(中国大陆) / 2018-10-05(印度),调音师, 阿尤斯曼·库拉纳 / 塔布 / 拉迪卡·艾普特 / 安尔·德霍万 / 马纳夫·维吉 / 阿什维尼·卡尔塞卡 / 查亚·卡达姆 / 萨基尔·侯赛因 / 拉什米·阿格德卡 / 莫希尼·凯瓦拉曼
8.6, 印度, 乌皮德拉·塞德海耶, 163分钟,170981, 尼西卡特·卡马特, 剧情 / 悬疑 / 犯罪, 视觉 / 瞒天过海 / Visual / The Sight, 印地语, tt4430212, 2015-07-31(印度),误杀瞒天记, 阿贾耶·德乌干 / 塔布 / 施芮娅·萨兰 / 拉贾特·卡普尔 / 伊西塔·杜塔 / 莫伦诺·贾达夫 / 皮拉桑纳·凯特卡尔 / 尤盖莎·索南 / 帕拉斯莫什·帕拉布 / 瑞瑟·查达哈
8.6, 英国, 西蒙·博福伊 / 维卡斯·史瓦卢普, 120分钟,679198, 丹尼·博伊尔 / 洛芙琳·坦丹, 剧情 / 爱情, 一百万零一夜(港) / 贫民百万富翁(台) / 贫民富翁 / 山寨富翁 / 阳光小阿三(豆友译名), 英语 / 印地语 / 法语 / 德语, tt1010048, 2009-03-26(中国大陆) / 2008-08-30(特柳赖德电影节) / 2009-01-09(英国),贫民窟的百万富翁, 戴夫·帕特尔 / 沙鲁巴·舒克拉 / 亚尼·卡普 / 拉詹德拉纳斯·祖特施 / 吉尼瓦·塔瓦尔 / 芙蕾达·平托 / 伊尔凡·可汗 / 爱资哈尔丁·穆罕默德·伊斯梅尔 / 阿什·马赫什·舍德卡 / 马赫什·曼杰瑞卡 / 麦活·米泰尔
8.4, 印度, 卡比尔·汗 / 维杰耶德拉·普拉萨德, 159分钟 / 141分钟(中国大陆),445463, 卡比尔·汗, 剧情 / 喜剧 / 动作, 娃娃返乡任务(台) / 宝莱坞之钢铁奶爸(台) / 把她带回家 / 猴神兄弟 / 猴神老哥 / 回家 / Brother Bajrangi, 印地语 / 乌尔都语, tt3863552, 2018-03-02(中国大陆) / 2015-07-17(印度),小萝莉的猴神大叔, 萨尔曼·汗 / 哈莎莉·马洛特拉 / 卡琳娜·卡普尔 / 纳瓦祖丁·席迪圭 / 欧姆·普瑞 / 梅·维贾 / 席尔帕.舒克拉 / 拉杰什·沙玛 / 沙拉蒂·瑟斯纳 / 阿图·斯里瓦斯塔瓦 / 阿德南·萨米 / 马诺·巴克什
7.6, 印度, 吉图·乔瑟夫, 152分钟,14260, 吉图·乔瑟夫, 剧情 / 惊悚 / 犯罪, 误杀瞒天记2 / Drishyam 2 / Drishyam 2 The Resumption, 马拉雅拉姆语, tt12361178, 2021-02-19(印度网络),较量2, 莫哈恩拉 / 米娜 / 安西芭 / 艾丝特·阿妮尔 / Siddique / 阿莎·莎拉特 / Saikumar / Murali Gopy / Ganesh Kumar / Anjali Nair / Sumesh Chandran / Antony Perumbavoor / 迪内希·奈尔 / Ajith Koothattukulam / 纳拉南·奈尔 / 乔伊·马修
8.4, 澳大利亚 / 美国 / 印度, 安东尼·马拉斯 / 约翰·科里, 123分钟,172164, 安东尼·马拉斯, 剧情 / 惊悚 / 历史, 失控危城(台) / होटल मुंबई, 英语 / 印地语 / 旁遮普语 / 希腊语 / 俄语 / 阿拉伯语 / 乌尔都语 / 波斯语, tt5461944, 2018-09-07(多伦多电影节) / 2018-10-10(阿德莱德电影节),孟买酒店, 艾米·汉莫 / 纳赞宁·波妮阿蒂 / 戴夫·帕特尔 / 詹森·艾萨克 / 阿努潘·凯尔 / 刘承羽 / 安格斯·麦克拉伦 / 萨钦·乔伯 / 蒂尔达·格哈姆-哈维 / 维品·沙尔马 / 阿布罗伊·辛格 / 迪维亚·阿妮 / 桑迪普·博雅卡 / 齐尼亚·斯塔尔
