评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
5.5, 日本, 吉川菜美 / 中村珍, 142分钟,5992, 广木隆一, 剧情 / 爱情 / 同性 / 犯罪, 她 / Ride or Die, 日语, tt14164234, 2021-04-15(日本网络),彼女, 水原希子 / 佐藤穗奈美 / 新纳慎也 / 田中俊介 / 乌丸节子 / 南沙良 / 铃木杏 / 田中哲司 / 真木阳子
6.7, 日本, 和久井健, 120分钟,3128, 英勉, 动作 / 奇幻, Tokyo Revengers / 東京卍リベンジャーズ, 日语, tt11923304, 2021-07-09(日本),东京复仇者, 北村匠海 / 山田裕贵 / 杉野遥亮 / 今田美樱 / 铃木伸之 / 矶村勇斗 / 间宫祥太朗 / 吉泽亮 / 真荣田乡敦
7.1, 日本, 三木康一郎, 107分钟,4312, 三木康一郎, 剧情 / 爱情 / 同性,, 日语, tt13213122, 2021-02-26(日本),剧场版 情色小说家~playback~, 竹财辉之助 / 猪塚健太 / 吉田宗洋 / 大石吾朗 / 松本若菜 / 奥野壮 / 小林凉子 / 前野朋哉
5.3, 日本, 福田雄一, 113分钟,6372, 福田雄一, 喜剧 / 历史, 反转三国志(港) / 新解·三国志 / 新解释·三国志, 日语, tt12718318, 2020-12-11(日本),三国志新解, 大泉洋 / 贺来贤人 / 桥本环奈 / 山本美月 / 冈田健史 / 桥本哲 / 高桥努 / 岩田刚典 / 渡边直美 / 矶村勇斗 / 矢本悠马 / 阿部进之介 / 半海一晃 / 室毅 / 山田孝之 / 城田优 / 佐藤二朗 / 西田敏行 / 小栗旬
7.7, 日本, 园子温, 146分钟,4190, 园子温, 喜剧, Red Post on Escher Street, 日语, tt13245934, 2020-10-09(瓦尔迪维亚国际电影节) / 2021-12-25(日本),埃舍尔街的红色邮筒, 茉爱罗 / 藤田朋子 / 吹越满 / 小澤真利奈 / 诹访太朗 / 鸟羽润 / 渡边哲
7.1, 日本, 野木亚纪子 / 塩田武士, 142分钟,5576, 土井裕泰, 悬疑 / 犯罪, The Voice of Sin, 日语, tt10206818, 2020-10-30(日本),罪之声, 小栗旬 / 星野源 / 松重丰 / 古馆宽治 / 市川实日子 / 火野正平 / 宇崎龙童 / 梶芽衣子 / 宇野祥平
5.6, 日本, 吉川菜美, 111分钟,2578, 神徳幸治, 剧情 / 喜剧 / 爱情, Honey Lemon Soda, 日语, tt14311250, 2021-07-09(日本),蜂蜜柠檬苏打, ラウール / 吉川爱 / 堀田真由 / 冈本夏美 / 坂东龙汰 / 滨田龙臣
6.6, 日本, 英勉 / 宇田学, 108分钟,5314, 英勉, 剧情 / 喜剧, 碧蓝之海剧场版(台), 日语, tt11312092, 2020-07-26(上海电影节) / 2020-08-07(日本),碧蓝之海, 龙星凉 / 犬饲贵丈 / 与田祐希 / 朝比奈彩 / 小仓优香 / 石川恋 / 高岛政宏
7.3, 日本, 空知英秋, 104分钟,3173, 宫胁千鹤, 喜剧 / 动画, アニメ劇場版銀魂, 日语, tt10766468, 2021-01-08(日本),银魂：最终篇, 杉田智和 / 阪口大助 / 钉宫理惠 / 子安武人 / 石田彰 / 千叶进步 / 中井和哉 / 铃村健一 / 太田哲治 / 日野聪 / 大塚芳忠 / 山寺宏一 / 雪野五月 / 小林优 / 折笠富美子 / 甲斐田裕子 / 立木文彦 / 三木真一郎 / 森川智之 / 平野绫 / 若本规夫 / 速水奖 / 空知英秋
7.2, 日本, 高田亮, 98分钟(日本),3487, 前田弘二, 喜剧 / 爱情, 老师！你会不会谈恋爱(台) / 你也一样不正经, 日语, tt14354276, 2021-03-19(日本),你和我一样不正常, 成田凌 / 清原果耶 / 泉里香 / 小泉孝太郎 / 山谷花纯 / 仓悠贵 / 大谷麻衣
7.1, 日本, 上田诚, 70分钟,1249, 山口淳太, 喜剧 / 科幻, Droste no hate de bokura / Beyond The Infinite Two Minutes, 日语, tt14500584, 2020-04-25(日本),超越无限两分钟, 角田贵志 / 诹访雅 / 中川晴树 / 本多力 / 朝仓亚纪
