评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
8.1, 韩国, 李基哲 / 柳昇完, 121分钟,78198, 柳昇完, 剧情 / 动作, 绝路狂逃(港) / 逃出摩加迪休(台) / 摩加迪休 / Mogadishu / Escape from Mogadishu, 韩语 / 英语, tt14810692, 2021-07-28(韩国),摩加迪沙, 金允石 / 赵寅成 / 许峻豪 / 具教焕 / 金素真 / 郑满植 / 金在华 / 朴庆惠 / 尹敬浩
7.6, 韩国, 李聪贤, 112分钟,139696, 李聪贤, 剧情 / 悬疑 / 惊悚, The Call：超时空通话(港) / 声命线索(台) / Call, 韩语, tt10530176, 2020-11-27(韩国网络),电话, 朴信惠 / 全钟瑞 / 金成铃 / 李艾 / 李东辉 / 朴浩山 / 吴政世
8.7, 韩国, 金世谦 / 金郑勋, 126分钟,30839, 李濬益, 剧情 / 历史 / 古装, The Book of Fish, 韩语, tt14371900, 2021-03-31(韩国),兹山鱼谱, 薛景求 / 卞约汉 / 李姃垠 / 敏度希 / 柳承龙
6.6, 韩国, 朴贤真, 118分钟,25714, 朴贤真, 喜剧 / 爱情, 道德感 / Moral Sense / Love and Leashes, 韩语, tt15553956, 2022-02-11(韩国网络),解禁男女, 徐珠贤 / 李濬荣 / 李艾 / 徐贤宇 / 白贤珠 / 金汉娜 / 安承钧 / 金宝罗 / 李世亨
5.1, 韩国, 延尚昊, 115分钟,115842, 延尚昊, 动作 / 惊悚 / 恐怖, 釜山行2 / 半岛 / 尸杀半岛(港) / 尸速列车：感染半岛(台) / Peninsula / Train to Busan 2, 韩语 / 英语 / 粤语, tt8850222, 2020-07-15(韩国),釜山行2：半岛, 姜栋元 / 李贞贤 / 权海骁 / 李来 / 金敏载 / 具教焕 / 金度允 / 李艺媛 / 张素妍 / 文宇振 / 丹尼尔·乔伊·奥尔布赖特 / 车始元 / Pierce Conran  / Terri Doty  / Geoffrey Giuliano / Christopher Gordon / Yeon-hee Hwang
7.0, 韩国, 金银姬, 94分钟,63227, 金成勋, 剧情 / 恐怖 / 古装,, 韩语, tt13412252, 2021-07-23(韩国),王国：北方的阿信, 全智贤 / 朴秉恩 / 金诗雅 / 金雷夏 / 具教焕
5.7, 韩国, 赵一亨 / 马特·奈勒, 98分钟,109130, 赵一亨, 动作 / 惊悚 / 灾难, 独行 / 얼론 / #Saraitda / #Alone / #Alive, 韩语, tt10620868, 2020-06-24(韩国),#活着, 刘亚仁 / 朴信惠 / 李铉旭 / 全裴修 / 苏熙静 / 金丹菲 / 乔汉俊
7.3, 韩国, 洪元灿, 108分钟 / 114分钟(导演剪辑版),60068, 洪元灿, 动作 / 悬疑 / 犯罪, 魔鬼对决(台) / 请救我于邪恶 / 请解救我于恶 / 但求远离罪恶 / Deliver Us From Evil, 韩语 / 日语 / 泰语 / 英语 / 汉语普通话, tt12763920, 2020-08-05(韩国),从邪恶中拯救我, 黄政民 / 李政宰 / 朴正民 / 朴昭怡 / 崔嬉序 / 沈英恩 / 朴明勋 / 吴代焕 / 宋永彰 / 李书焕 / 李泰剑 / 池炫俊 / 朴宰弘 / 文正秀 / 金敏植 / 宋宥弦 / 林成宰 / 丰原功补 / 白龙 / 水野智则 / 藏原健
7.4, 韩国, 洪宜廷, 99分钟,57018, 洪宜廷, 喜剧 / 犯罪, 收尸人(台) / 连声音都没有(台) / 无声无息 / Voice of Silence, 韩语, tt10431572, 2020-10-15(韩国),无声, 刘亚仁 / 刘在明 / 文胜雅 / 林姜成 / 李海云 / 刘成柱 / 金子英 / 金汉娜
6.8, 韩国,, 106分钟,29182, 赵巴伦, 惊悚 / 恐怖, 採魂邨(港) / 怪奇大厦(台) / 怪奇公寓 / Strange Mansion / Ghost Mansion / The Grotesque Mansion, 韩语, tt14895216, 2021-06-30(韩国) / 2021-07-30(韩国网络),怪奇宅, 盛骏 / 金弘波 / 金宝罗 / 金在华 / 朴素珍 / 徐贤宇
7.2, 韩国, 卞成贤, 123分钟,2813, 卞成贤, 剧情 / 犯罪, 造王者 / Kingmaker, 韩语, tt17491616, 2022-01-26(韩国),王者制造, 薛景求 / 李善均 / 刘在明 / 赵宇镇 / 朴仁焕 / 裴宗玉 / 李海荣 / 金成伍 / 全裴修 / 金玺碧 / 徐恩秀
