评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
7.8, 中国台湾, 曾咏婷, 134分钟,560783, 陈玉珊, 喜剧 / 爱情, Our Times, 汉语普通话, tt4967094, 2015-11-19(中国大陆) / 2015-08-15(中国台湾),我的少女时代, 宋芸桦 / 王大陆 / 李玉玺 / 简廷芮 / 刘德华 / 陈乔恩 / 言承旭 / 曲家瑞 / 屈中恒 / 钟欣凌 / 许杰辉 / 蔡颐榛 / 郭文颐 / 石知田 / 那维勋 / 林鹤轩 / 陈彦允 / 张立东 / 郑茵声 / 李绍祥
8.0, 中国香港 / 中国台湾, 周杰伦 / 杜致朗, 101分钟,442057, 周杰伦, 爱情 / 音乐 / 奇幻, Secret, 汉语普通话 / 英语, tt1037850, 2007-07-31(中国大陆) / 2007-07-27(中国台湾),不能说的秘密, 周杰伦 / 桂纶镁 / 黄秋生 / 曾恺玹 / 苏明明 / 黄俊郎 / 宋健彰 / 詹宇豪 / 张杰 / 钟瑶 / 张训玮
9.2, 中国台湾 / 美国, 李安 / 王蕙玲 / 詹姆斯·夏慕斯, 124分钟,542178, 李安, 剧情 / 家庭, Eat Drink Man Woman, 汉语普通话 / 闽南语 / 湖南话, tt0111797, 1994-08-03(美国),饮食男女, 郎雄 / 杨贵媚 / 吴倩莲 / 王渝文 / 张艾嘉 / 归亚蕾 / 赵文瑄 / 陈昭荣 / 陈捷文 / 卢金城 / 唐语谦 / 洪其德 / 王瑞 / 杜满生 / 王玨 / 陈妤 / 左正芬 / 许敬民 / 聂卓晶 / 丁仲
4.6, 中国台湾, 洪昇扬 / 陈嘉蔚, 103分钟(台湾) / 105分钟(中国大陆),5317, 洪昇扬, 剧情 / 爱情," 10,000 Miles", 汉语普通话, tt4884914, 2017-01-06(中国大陆) / 2016-10-07(中国台湾),一万公里的约定, 黄远 / 赖雅妍 / 王大陆 / 谢语恩 / 周杰伦 / 樊光耀 / 龙劭华 / 卢惠光 / 廖峻 / 澎澎 / 李至正 / 沈昶宏 / 简莉纹 / 王道南
8.9, 中国台湾, 朱天文 / 侯孝贤, 137分钟,47946, 侯孝贤, 剧情 / 家庭 / 传记, The Time to Live and the Time to Die / A Time to Live and a Time to Die / 生死同代, 汉语普通话 / 闽南语 / 客家话, tt0090185, 1985-08-03(中国台湾),童年往事, 游安顺 / 田丰 / 梅芳 / 唐如韫 / 萧艾 / 吴素莹 / 陈淑芳 / 辛树芬 / 严圣华 / 周栋宏 / 陈汉文 / 胡翔评 / 林崇文 / 高重黎 / 陶德辰 / 陈志贞 / 江宝德 / 张宁 / 罗泽中 / 罗诚业 / 张家宝 / 罗勋琳 / 刘国宾
8.1, 中国台湾, 九把刀, 110分钟 / 100分钟(中国大陆),824581, 九把刀, 剧情 / 喜剧 / 爱情, You Are the Apple of My Eye, 汉语普通话, tt2036416, 2012-01-06(中国大陆) / 2011-08-19(中国台湾),那些年，我们一起追的女孩, 柯震东 / 陈妍希 / 敖犬 / 郝劭文 / 蔡昌宪 / 侯彦西 / 弯弯 / 邱彦翔 / 王彩桦 / 柯义浤 / 黄逸祥 / 李凤新 / 黄柏钧 / 赖雅妍 / 高丽红 / 李维维 / 严艺文 / 蔡武雄
5.9, 中国台湾, 简士耕, 93分钟,12816, 程伟豪, 惊悚 / 恐怖, The Tag-Along, 汉语普通话 / 台语, tt5078188, 2015-11-27(中国台湾),红衣小女孩, 许玮甯 / 黄河 / 刘引商 / 张柏舟 / 林裔臻 / 杨家芸 / 陈亮彤 / 陈翎帆 / 黄诗棋 / 卜国耕 / 金美满
5.6, 中国台湾 / 马来西亚 / 缅甸, 赵德胤 / 吴可熙, 103分钟,3723, 赵德胤, 剧情, 妮娜 / Nina Wu, 汉语普通话, tt9404442, 2019-07-19(中国台湾) / 2019-05-20(戛纳电影节),灼人秘密, 吴可熙 / 宋芸桦 / 夏于乔 / 施名帅 / 黄尚禾 / 张立昂 / 王琄 / 汤志伟 / 谢盈萱 / 郑人硕 / 李李仁 / 林敬伦
8.9, 中国台湾, 杨德昌 / 赖铭堂 / 杨顺清 / 鸿鸿, 237分钟(导演剪辑版),246028, 杨德昌, 剧情 / 犯罪, A Brighter Summer Day, 汉语普通话 / 闽南语 / 上海话 / 粤语, tt0101985, 1991-07-27(中国台湾),牯岭街少年杀人事件, 张震 / 杨静怡 / 张国柱 / 王启赞 / 林鸿铭 / 金燕玲 / 王琄 / 张翰 / 姜秀琼 / 赖梵耘 / 柯宇纶 / 谭志刚 / 冯国强 / 陈湘琪 / 金士杰
8.7, 中国台湾, 吴念真 Nien-Jen Wu / 朱天文, 109分钟,75060, 侯孝贤, 剧情 / 爱情, Dust in the Wind, 汉语普通话 / 粤语 / 闽南语, tt0091406, 1986(中国台湾) / 1987-10-15(中国香港) / 1987-09-13(多伦多电影节),恋恋风尘, 李天禄 / 辛树芬 / 王晶文 / 柯宇纶
