评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
9.7, 泰国,,,6933, Patipol Teekayuwat, 纪录片, 一心一译第二季幕后花絮 / I Told Sunset About You Part 2：The Documentary / I Promised You The Moon：The Documentary, 泰语,,,以你的心诠释我的爱 第二季 幕后花絮, 普提蓬·阿萨拉塔纳功 / 克里特·安努艾德奇康 / 托萨风·利安堂 / 抔米提·米弯投瓦兰 / 雅拉查芃·普金帕可 / 纳帕·维凯伦罗 / Boss Kamolpipat Bunnag / 萨里特·特里勒维希恩 / Ta Taninrat Wadsriwat / New Chayapak Tunprayoon / 纳卢拜·库诺 / 颂裕·素玛戈南 / 纳特·奇查理 / 凯特·卡拉卡德·诺拉塞塔蓬
7.9, 泰国, Jeab Wattana,,30617, 萨拉萨瓦蒂·翁索姆佩奇, 喜剧 / 爱情, 泰版浪漫满屋 / 浪漫一生 / Woon nuk ruk tem barn / Full House, 泰语, tt3514446,,浪漫满屋, 苏查拉·玛娜英 / 迈克·安吉洛 / 尤塔沙达 帕尼查功 / Jane Janesuda Parnto / 阿南达·爱华灵咸 / Waratta Watcharatorn / Nisachon Siothaisong
7.1, 泰国,,,660, Jane Botta, 剧情 / 爱情 / 同性, Nitiman The Series / Nitiman / 爱的工法男友 / 程法表, 泰语,,,程法攻略, Jom Thanathorn Khuankaew / Noh Phouluang Thongpaseuth / 查诺崇·布恩玛纳翁 / 王敏成 / Tontae Tinnakorn Puwasakdiwong / Fourwheels Chayanond Boonmanawong / Bhu Bhudis Viseshchitra / Dan Kreangsak Muangsaen / Winner Tanatat Kunaneksin
7.9, 泰国 / 法国 / 奥地利, 阿彼察邦·韦拉斯哈古,,4411, 阿彼察邦·韦拉斯哈古, 剧情, 综合症与一百年 / 世纪症候群 / Intimacy and Turbulence / Syndromes and a Century, 泰语, tt0477731, 2006-08-31,恋爱症候群, Arkanae Cherkam / Jaruchai Iamaram / 萨卡达·卡温巴迪 / Sin Kaewpakpin
7.4, 泰国,,,2408, 巴卡夫·阿福·努婆法奈克, 剧情 / 喜剧 / 爱情 / 同性 / 音乐, 只因我们天生一对 特别篇 / 依然天生一对 / (Still) 2gether / Still Together / Because we are still together, 泰语, tt12897880,,假偶天成 特别篇, 瓦奇拉维特·奇瓦雷 / 梅塔文·欧帕西安卡琼 / 萨塔布·莱德克 / 塔纳萨兰·萨姆通莱 / 辛纳拉·西里朋查瓦雷 / 邱常誉 / 西瓦科恩·勒尔科乔特 / 格拉维·伯恩司里 / 彩拿甘· 阿旁苏提南 / Pattranite Limpatiyakorn / 塔纳瓦·拉达纳奇派山 / 查亚功·朱塔玛斯 / Rachanun Mahawan
7.8, 泰国, 纳瓦彭·坦荣瓜塔纳利, 125分钟,53311, 埃迪森·特斯利卡森, 喜剧 / 爱情, 曼谷轻轨恋曲 / 乘着轻轨去见她 / 轻轨恋曲 / 下一站说爱你 / Bangkok Traffic Love Story / Rot Fai Faa…Maa Ha Na Ter, 泰语, tt1621642, 2009-10-15,下一站，说爱你, 提拉德·翁坡帕 / 安苏玛琳·瑟拉帕萨默莎 / 克丽丝·霍旺
7.4, 泰国, 纳塔彭·蒙空萨瓦,,351, Film Pawis Sowsrion, 爱情 / 同性, 很高兴遇见你 / 很高兴爱上你 / 谁是我的那个他 / 很高兴认识你们 / Enchante / 匿爱 / 谁是我的真命天子, 泰语, tt13666680,,很高兴认识你, Book Kasidet Plookphol / 福卢克·加温·卡斯基 / 普西特·迪塔皮西 / 查亚功·朱塔玛斯 / Aou Thanaboon / Boom Tharatorn / Force Jiratchapong / Jimmy Jitaphon Potiwihok / 纳帕特·帕查拉恰瓦雷 / 奥利弗·普帕特
6.7, 泰国, 韦西·沙赞那庭, 100 分钟,2581, 朗斯·尼美毕达, 爱情 / 恐怖 / 战争, 幽魂娜娜 / Nang Nak, 泰语, tt0217680, 2000-04-06,鬼妻, 因泰拉·贾龙珀拉 / Winai Kraibutr / Manit Meekaewjaroen / Pramote Suksatit / Pracha Thawongfia
6.4, 泰国 / 法国,, 19分钟,79, 阿彼察邦·韦拉斯哈古, 短片, Sud Vikal / Vampire, 泰语, tt2815776, 2008,吸血鬼,
, 泰国 / 法国, 阿彼察邦·韦拉斯哈古,,, 阿彼察邦·韦拉斯哈古, 动画 / 短片,,, tt6464186, 2007-02-27(法国),吾母花园, 萨卡达·卡温巴迪 / 金吉拉·潘帕斯
5.2, 泰国, Lee Thongkham / Piyaluk Tuntisrisakul, 100分钟,1216, Lee Thongkham / Sorabodee Changsiri, 恐怖 / 同性, 鬼侍女(台) / 怨仆 / The Maid, 泰语, tt10147910, 2020-07-03(中国台湾),鬼女佣, 普洛伊·索娜琳 / 萨维卡·恰雅德 / 提叻巴·萨乍恭 / Ratchanok Suwannaket / Keetapat Pongrue / Venus Saksiri / Ounruan Rachote / Alina Homsangpradit / Natanee Sitthisaman / Kannaporn Puangtong / Sorabodee Changsiri
6.7, 泰国,,,1271, Koo Ekkasit Trakulkasemsuk, 剧情 / 爱情, 海王游戏, 泰语,,,密爱游戏, 翁莎功·波拉玛塔功 / 瓦妮达·特姆散纳波 / 阿萍雅·萨库尔加伦苏 / 查莉塔·苏安珊 / 娜拉·帖努啪 / 佳妮达·芬帕丹吉 / 肯瓦琳·昂多玛可索恩
6.6, 泰国,,,2297,, 剧情 / 爱情, 敌之爱链 / 仇恨的锁链 / 仇恨之链 / Soh Wari / So Wayree, 泰语,,,情链, 霍萨维·帕拉蓬皮善 / 莫妲·娜琳叻 / 查纳甘·彭斯里旺 / 芭兰米塔·萨空查谙 / 康姆克里特·杜昂苏万 / 瓦拉丹·肯蒙达 / 萨鲁特·维吉特拉南达 / 皮拉瓦·昆南瓦 / 孔查可恩·宋善藤 / 帕拉蒂·永帕素
7.9, 泰国,, 105分钟,790, 提·辛纳帕拉迪, 剧情 / 喜剧 / 爱情 / 同性,, 泰语,, 2021-06-09(泰国),数到十就亲亲你 特别篇, 普姆帕特·伊安查芒 / 诺帕考·德查帕塔纳坤 / 帕岚尤·苏克萨姆兰 / 瓦辛·帕努纳彭 / Earth Nirodha Ruencharoen / Fongkee Papinee Yaemnatda / 斯里康·卡纳努克 / 娜塔茹泰·阿卡娜吉塔纳库 / 蔡辰逸
7.8, 泰国,, 105分钟,9601, 尼提瓦·塔拉吞, 喜剧 / 爱情, 想念Wittaya / The Teacher's Diary / Khid thueng withaya, 泰语, tt3500528, 2014-03-20(泰国),教师日记, 赖拉·邦雅淑 / 素格力·威塞哥 / 苏格拉瓦·卡那诺 / 楚缇玛·提潘娜特 / 文塔瓦·史蓝蓬
9.8, 泰国,,,19040,, 纪录片,, 泰语,,,以你的心诠释我的爱 幕后花絮, 纳卢拜·库诺 / 克里特·安努艾德奇康 / 普提蓬·阿萨拉塔纳功 / 皮查南·杰姆西里卡恩 / 因塔诺·圣西利帕桑 / 朋抔·潘亚密特 / 帕兰达·缇塔瓦西娜 / 提塔特·苏克因 / 克里斯蒂安·波斯 / 吉拉宇·考拜迈 / 雅拉查芃·普金帕可 / 纳特·奇查理
, 泰国, Bee Pongset Laksamipong,,, Lit Phadung Samajarn / Niink Karnpicha Sinlertpattana / Ko Nantalit Tampacha, 爱情 / 同性, Love Mechanics, 泰语,,,爱情力学, 拉查帕特·沃拉萨恩 / 瓦纳拉特·拉萨梅拉特 / 亚南·翁 / 丽兹·鲁安格里特·西里潘尼特 / Toosafe Krittawat Suwanich / 拉查蓬·阿诺玛契提 / Bever Patsapon Jansuppakitkun / Aomsin Wongrapee Krusong / Frong Thammasiri Umpujh / Win Thanakom Minthananan / Saran Lek Davika / Prat Itthichaicharoen / Pharaoh Thamrong Cunpisut / Got Liewrakolan Pongsatorn / Jeff Nathadej Pititranun / Bonz Nadol Lamprasert / 帕塔拉布特·金努库尔 Pattarabut Kiennukul
7.5, 泰国, 阿彼察邦·韦拉斯哈古, 17分40秒,1013, 阿彼察邦·韦拉斯哈古, 短片,, 泰语, tt1480648, 2009-05-05,给布米叔叔的信, Phetmongkol Chantawong / Kumgieng Jittamaat / Miti Jittamaat
9.0, 泰国,, 25分钟,791,, 短片 / 同性," BabyBright , รักจากอวกาศ / เพราะความรัก ไม่ได้มีคำจำกัดความ", 泰语,, 2019-11-24(泰国),天外之恋, 巴特潘·忽栓 / 钟朋·阿卢迪吉朋
6.4, 泰国, Aummaraporn Phandintong / 班庄·比辛达拿刚, 90分钟,15433, 班庄·比辛达拿刚 / 柏德潘·王般, 剧情 / 惊悚 / 恐怖, 连体孤魂, 泰语 / 韩语, tt0484090, 2007-03-29,连体阴, 玛莎·华顿娜柏妮 / Vittaya Wasukraipaisan / Ratchanoo Bunchootwong
